1;arms_factory;2948.00;11.60;1361.00;5.07;0
1;arms_factory;2948.00;12.95;1364.00;1.45;0
1;arms_factory;2948.00;12.95;1364.00;4.47;0
1;arms_factory;2950.00;10.60;1356.00;0.85;0
1;arms_factory;2952.00;10.78;1370.00;3.51;0
1;arms_factory;2952.00;10.78;1370.00;1.35;0
1;industrial_complex;2947.00;13.62;1368.00;1.46;0
1;industrial_complex;2948.00;12.95;1369.00;5.58;0
1;industrial_complex;2950.00;12.15;1362.00;1.96;0
1;industrial_complex;2944.00;10.50;1364.00;6.08;0
1;industrial_complex;2944.00;10.88;1365.00;6.18;0
1;industrial_complex;2947.00;9.90;1357.00;4.02;0
1;air_base;2947.00;9.90;1357.00;0.41;0
1;naval_base;2943.00;9.50;1360.00;-1.57;5579
1;naval_base;2942.00;9.50;1363.00;-1.37;5579
1;naval_base;2955.00;9.55;1365.00;1.11;5579
1;bunker;2949.00;13.12;1365.00;5.74;0
1;bunker;2951.00;11.20;1360.00;3.58;0
1;bunker;2951.00;10.03;1372.00;5.14;0
1;coastal_bunker;2955.00;9.60;1367.00;1.11;0
1;coastal_bunker;2945.00;9.50;1353.00;-1.57;0
1;coastal_bunker;2942.00;9.90;1370.00;-2.60;0
1;dockyard;2955.00;9.60;1367.00;1.11;0
1;anti_air_building;2945.00;11.50;1365.00;6.25;0
1;anti_air_building;2945.00;11.50;1365.00;4.09;0
1;anti_air_building;2948.00;10.73;1358.00;0.47;0
1;synthetic_refinery;2948.00;10.73;1358.00;2.04;0
1;fuel_silo;2951.00;10.57;1371.00;4.70;0
1;radar_station;2948.00;13.38;1365.00;4.03;0
1;rocket_site;2946.00;11.57;1370.00;3.74;0
1;nuclear_reactor;2952.00;10.65;1363.00;0.48;0
114;arms_factory;2946.00;10.48;1322.00;0.49;0
114;arms_factory;2947.00;11.35;1339.00;4.61;0
114;arms_factory;2945.00;11.20;1339.00;5.82;0
114;arms_factory;2943.00;10.00;1310.00;3.66;0
114;arms_factory;2941.00;10.62;1335.00;5.22;0
114;arms_factory;2939.00;9.78;1335.00;1.60;0
114;industrial_complex;2945.00;10.65;1326.00;5.72;0
114;industrial_complex;2948.00;12.12;1336.00;2.10;0
